RUN	com.chapter.backend.LoadTestSimulation	loadtestsimulation	1646397042212	 	3.6.0
USER	Chapter Backend Simulation	START	1646397042494
USER	Chapter Backend Simulation	START	1646397042247
USER	Chapter Backend Simulation	START	1646397042744
USER	Chapter Backend Simulation	START	1646397042994
REQUEST		POST /car-dealer/v1/brands	1646397042974	1646397043102	OK	 
REQUEST		POST /car-dealer/v1/brands	1646397043027	1646397043102	OK	 
REQUEST		POST /car-dealer/v1/brands	1646397042974	1646397043102	OK	 
REQUEST		POST /car-dealer/v1/brands	1646397042974	1646397043102	OK	 
REQUEST		GET /car-dealer/v1/brands/32	1646397043106	1646397043138	OK	 
REQUEST		GET /car-dealer/v1/brands/31	1646397043106	1646397043138	OK	 
REQUEST		GET /car-dealer/v1/brands/29	1646397043106	1646397043138	OK	 
REQUEST		GET /car-dealer/v1/brands/30	1646397043106	1646397043138	OK	 
REQUEST		DELETE /car-dealer/v1/brands/30	1646397043146	1646397043199	OK	 
REQUEST		DELETE /car-dealer/v1/brands/32	1646397043146	1646397043194	OK	 
REQUEST		GET /car-dealer/v1/brands/32	1646397043195	1646397043226	OK	 
REQUEST		GET /car-dealer/v1/brands/30	1646397043201	1646397043226	OK	 
REQUEST		DELETE /car-dealer/v1/brands/31	1646397043147	1646397043194	OK	 
USER	Chapter Backend Simulation	END	1646397043229
USER	Chapter Backend Simulation	END	1646397043229
REQUEST		GET /car-dealer/v1/brands/31	1646397043195	1646397043229	OK	 
USER	Chapter Backend Simulation	END	1646397043231
REQUEST		DELETE /car-dealer/v1/brands/29	1646397043146	1646397043199	OK	 
REQUEST		GET /car-dealer/v1/brands/29	1646397043200	1646397043238	OK	 
USER	Chapter Backend Simulation	END	1646397043240
USER	Chapter Backend Simulation	START	1646397043244
REQUEST		POST /car-dealer/v1/brands	1646397043251	1646397043264	OK	 
REQUEST		GET /car-dealer/v1/brands/33	1646397043266	1646397043273	OK	 
REQUEST		DELETE /car-dealer/v1/brands/33	1646397043275	1646397043283	OK	 
REQUEST		GET /car-dealer/v1/brands/33	1646397043284	1646397043289	OK	 
USER	Chapter Backend Simulation	END	1646397043290
USER	Chapter Backend Simulation	START	1646397043495
REQUEST		POST /car-dealer/v1/brands	1646397043508	1646397043545	OK	 
REQUEST		GET /car-dealer/v1/brands/34	1646397043547	1646397043553	OK	 
REQUEST		DELETE /car-dealer/v1/brands/34	1646397043555	1646397043570	OK	 
REQUEST		GET /car-dealer/v1/brands/34	1646397043571	1646397043577	OK	 
USER	Chapter Backend Simulation	END	1646397043578
USER	Chapter Backend Simulation	START	1646397043745
REQUEST		POST /car-dealer/v1/brands	1646397043752	1646397043768	OK	 
REQUEST		GET /car-dealer/v1/brands/35	1646397043770	1646397043777	OK	 
REQUEST		DELETE /car-dealer/v1/brands/35	1646397043778	1646397043792	OK	 
REQUEST		GET /car-dealer/v1/brands/35	1646397043793	1646397043801	OK	 
USER	Chapter Backend Simulation	END	1646397043801
USER	Chapter Backend Simulation	START	1646397043995
REQUEST		POST /car-dealer/v1/brands	1646397044006	1646397044043	OK	 
REQUEST		GET /car-dealer/v1/brands/36	1646397044044	1646397044059	OK	 
REQUEST		DELETE /car-dealer/v1/brands/36	1646397044061	1646397044107	OK	 
REQUEST		GET /car-dealer/v1/brands/36	1646397044108	1646397044115	OK	 
USER	Chapter Backend Simulation	END	1646397044117
USER	Chapter Backend Simulation	START	1646397044245
REQUEST		POST /car-dealer/v1/brands	1646397044253	1646397044269	OK	 
REQUEST		GET /car-dealer/v1/brands/37	1646397044270	1646397044285	OK	 
REQUEST		DELETE /car-dealer/v1/brands/37	1646397044287	1646397044298	OK	 
REQUEST		GET /car-dealer/v1/brands/37	1646397044299	1646397044313	OK	 
USER	Chapter Backend Simulation	END	1646397044314
USER	Chapter Backend Simulation	START	1646397044490
REQUEST		POST /car-dealer/v1/brands	1646397044504	1646397044540	OK	 
REQUEST		GET /car-dealer/v1/brands/38	1646397044545	1646397044554	OK	 
REQUEST		DELETE /car-dealer/v1/brands/38	1646397044556	1646397044566	OK	 
REQUEST		GET /car-dealer/v1/brands/38	1646397044568	1646397044578	OK	 
USER	Chapter Backend Simulation	END	1646397044579
USER	Chapter Backend Simulation	START	1646397044741
REQUEST		POST /car-dealer/v1/brands	1646397044770	1646397044786	OK	 
REQUEST		GET /car-dealer/v1/brands/39	1646397044788	1646397044796	OK	 
REQUEST		DELETE /car-dealer/v1/brands/39	1646397044798	1646397044807	OK	 
REQUEST		GET /car-dealer/v1/brands/39	1646397044808	1646397044816	OK	 
USER	Chapter Backend Simulation	END	1646397044817
USER	Chapter Backend Simulation	START	1646397044991
REQUEST		POST /car-dealer/v1/brands	1646397045001	1646397045024	OK	 
REQUEST		GET /car-dealer/v1/brands/40	1646397045026	1646397045034	OK	 
REQUEST		DELETE /car-dealer/v1/brands/40	1646397045036	1646397045045	OK	 
REQUEST		GET /car-dealer/v1/brands/40	1646397045047	1646397045054	OK	 
USER	Chapter Backend Simulation	END	1646397045055
USER	Chapter Backend Simulation	START	1646397045241
REQUEST		POST /car-dealer/v1/brands	1646397045253	1646397045291	OK	 
REQUEST		GET /car-dealer/v1/brands/41	1646397045293	1646397045311	OK	 
REQUEST		DELETE /car-dealer/v1/brands/41	1646397045313	1646397045322	OK	 
REQUEST		GET /car-dealer/v1/brands/41	1646397045323	1646397045330	OK	 
USER	Chapter Backend Simulation	END	1646397045331
USER	Chapter Backend Simulation	START	1646397045491
REQUEST		POST /car-dealer/v1/brands	1646397045502	1646397045525	OK	 
REQUEST		GET /car-dealer/v1/brands/42	1646397045527	1646397045543	OK	 
REQUEST		DELETE /car-dealer/v1/brands/42	1646397045546	1646397045556	OK	 
REQUEST		GET /car-dealer/v1/brands/42	1646397045558	1646397045563	OK	 
USER	Chapter Backend Simulation	END	1646397045564
USER	Chapter Backend Simulation	START	1646397045741
REQUEST		POST /car-dealer/v1/brands	1646397045753	1646397045778	OK	 
REQUEST		GET /car-dealer/v1/brands/43	1646397045779	1646397045789	OK	 
REQUEST		DELETE /car-dealer/v1/brands/43	1646397045790	1646397045803	OK	 
REQUEST		GET /car-dealer/v1/brands/43	1646397045804	1646397045810	OK	 
USER	Chapter Backend Simulation	END	1646397045812
USER	Chapter Backend Simulation	START	1646397045991
REQUEST		POST /car-dealer/v1/brands	1646397046003	1646397046019	OK	 
REQUEST		GET /car-dealer/v1/brands/44	1646397046021	1646397046031	OK	 
REQUEST		DELETE /car-dealer/v1/brands/44	1646397046033	1646397046056	OK	 
REQUEST		GET /car-dealer/v1/brands/44	1646397046058	1646397046071	OK	 
USER	Chapter Backend Simulation	END	1646397046072
USER	Chapter Backend Simulation	START	1646397046241
REQUEST		POST /car-dealer/v1/brands	1646397046253	1646397046276	OK	 
REQUEST		GET /car-dealer/v1/brands/45	1646397046277	1646397046289	OK	 
REQUEST		DELETE /car-dealer/v1/brands/45	1646397046291	1646397046304	OK	 
REQUEST		GET /car-dealer/v1/brands/45	1646397046306	1646397046321	OK	 
USER	Chapter Backend Simulation	END	1646397046322
USER	Chapter Backend Simulation	START	1646397046490
REQUEST		POST /car-dealer/v1/brands	1646397046500	1646397046532	OK	 
